Date,Close
3/3/15,79.6
3/4/15,80.9
3/5/15,81.21
3/6/15,80.01
3/9/15,79.44
3/10/15,77.55
3/11/15,77.57
3/12/15,78.93
3/13/15,78.05
3/16/15,78.07
3/17/15,79.36
3/18/15,80.91
3/19/15,82.75
3/20/15,83.8
3/23/15,84.43
3/24/15,85.31
3/25/15,82.92
3/26/15,83.01
3/27/15,83.3
3/30/15,83.2
3/31/15,82.22
4/1/15,81.67
4/2/15,81.56
4/6/15,82.44
4/7/15,82.32
4/8/15,82.28
4/9/15,82.17
4/10/15,82.04
4/13/15,83.01
4/14/15,83.52
4/15/15,82.71
4/16/15,82.31
4/17/15,80.78
4/20/15,83.09
4/21/15,83.62
4/22/15,84.63
4/23/15,82.41
4/24/15,81.53
4/27/15,81.91
4/28/15,80.68
4/29/15,80.47
4/30/15,78.77
5/1/15,78.99
5/4/15,78.81
5/5/15,77.56
5/6/15,78.1
5/7/15,78.43
5/8/15,78.51
5/11/15,78.01
5/12/15,77.46
5/13/15,78.44
5/14/15,81.37
5/15/15,80.42
5/18/15,80.88
5/19/15,80.63
5/20/15,80.55
5/21/15,80.48
5/22/15,80.54
5/26/15,79.33
5/27/15,80.55
5/28/15,80.15
5/29/15,79.19
6/1/15,80.29
6/2/15,80.44
6/3/15,82.44
6/4/15,82.05
6/5/15,82.14
6/8/15,80.67
6/9/15,80.67
6/10/15,82.16
6/11/15,81.83
6/12/15,81.53
6/15/15,80.71
6/16/15,81.06
6/17/15,81.79
6/18/15,82.91
6/19/15,82.51
6/22/15,84.74
6/23/15,87.88
6/24/15,88.86
6/25/15,87.98
6/26/15,88.01
6/29/15,85.8
6/30/15,85.77
7/1/15,86.91
7/2/15,87.29
7/6/15,87.55
7/7/15,87.22
7/8/15,85.65
7/9/15,85.88
7/10/15,87.95
7/13/15,90.1
7/14/15,89.68
7/15/15,89.76
7/16/15,90.85
7/17/15,94.97
7/20/15,97.91
7/21/15,98.39
7/22/15,97.04
7/23/15,95.44
7/24/15,96.95
7/27/15,94.17
7/28/15,95.29
7/29/15,96.99
7/30/15,95.21
7/31/15,94.01
8/3/15,94.14
8/4/15,94.06
8/5/15,96.44
8/6/15,95.12
8/7/15,94.3
8/10/15,94.15
8/11/15,93.62
8/12/15,94.19
8/13/15,93.43
8/14/15,94.42
8/17/15,93.93
8/18/15,95.17
8/19/15,95.31
8/20/15,90.56
8/21/15,86.06
8/24/15,82.09
8/25/15,83
8/26/15,87.19
8/27/15,89.73
8/28/15,91.01
8/31/15,89.43
9/1/15,87.23
9/2/15,89.89
9/3/15,88.15
9/4/15,88.26
9/8/15,89.53
9/9/15,90.44
9/10/15,91.98
9/11/15,92.05
9/14/15,92.31
9/15/15,92.9
9/16/15,93.45
9/17/15,94.34
9/18/15,94.4
9/21/15,95.55
9/22/15,92.96
9/23/15,93.97
9/24/15,94.41
9/25/15,92.77
9/28/15,89.21
9/29/15,86.67
9/30/15,89.9
10/1/15,90.95
10/2/15,92.07
10/5/15,94.01
10/6/15,92.8
10/7/15,92.4
10/8/15,92.47
10/9/15,93.24
10/12/15,94.26
10/13/15,94.12
10/14/15,94.07
10/15/15,95.96
10/16/15,97.54
10/19/15,98.47
10/20/15,97
10/21/15,97.11
10/22/15,99.67
10/23/15,102.19
10/26/15,103.77
10/27/15,103.7
10/28/15,104.2
10/29/15,104.88
10/30/15,101.97
11/2/15,103.31
11/3/15,102.58
11/4/15,103.94
11/5/15,108.76
11/6/15,107.1
11/9/15,106.49
11/10/15,107.91
11/11/15,109.01
