Date,Close
3/3/15,70.68
3/4/15,70.68
3/5/15,71.46
3/6/15,69.25
3/9/15,69.59
3/10/15,68.4
3/11/15,67.89
3/12/15,68.53
3/13/15,68.46
3/16/15,69.02
3/17/15,68.41
3/18/15,68.33
3/19/15,68.29
3/20/15,69.56
3/23/15,70.17
3/24/15,69.31
3/25/15,68.89
3/26/15,68.74
3/27/15,68.75
3/30/15,69.29
3/31/15,69.34
4/1/15,69.09
4/2/15,69.33
4/6/15,69.95
4/7/15,69.71
4/8/15,69.9
4/9/15,69.96
4/10/15,69.61
4/13/15,69.31
4/14/15,69.63
4/15/15,69.88
4/16/15,70.08
4/17/15,69.28
4/20/15,68.46
4/21/15,69.01
4/22/15,69.28
4/23/15,69.22
4/24/15,69.17
4/27/15,68.98
4/28/15,68.77
4/29/15,68.51
4/30/15,67.28
5/1/15,67.68
5/4/15,67.86
5/5/15,67.38
5/6/15,67.79
5/7/15,67.88
5/8/15,68.2
5/11/15,67.83
5/12/15,67.88
5/13/15,67.6
5/14/15,68.63
5/15/15,68.63
5/18/15,68.61
5/19/15,69.14
5/20/15,68.89
5/21/15,68.82
5/22/15,68.5
5/26/15,67.15
5/27/15,67.54
5/28/15,67.33
5/29/15,66.79
6/1/15,66.9
6/2/15,66.73
6/3/15,66.57
6/4/15,65.92
6/5/15,65.48
6/8/15,65.34
6/9/15,66.03
6/10/15,67.07
6/11/15,66.55
6/12/15,66.29
6/15/15,65.34
6/16/15,65.98
6/17/15,66.41
6/18/15,67.17
6/19/15,66.9
6/22/15,67.24
6/23/15,67.01
6/24/15,66.49
6/25/15,66.46
6/26/15,66.5
6/29/15,65.4
6/30/15,65.41
7/1/15,66.16
7/2/15,66.16
7/6/15,65.96
7/7/15,67.31
7/8/15,66.45
7/9/15,66.17
7/10/15,66.64
7/13/15,67.44
7/14/15,67.27
7/15/15,66.91
7/16/15,67.62
7/17/15,67.5
7/20/15,67.8
7/21/15,66.94
7/22/15,67
7/23/15,67.04
7/24/15,67
7/27/15,67.3
7/28/15,68.39
7/29/15,68.93
7/30/15,68.02
7/31/15,68.02
8/3/15,68.42
8/4/15,68.45
8/5/15,69.08
8/6/15,68.65
8/7/15,68.49
8/10/15,68.74
8/11/15,68.26
8/12/15,68
8/13/15,67.66
8/14/15,67.79
8/17/15,67.66
8/18/15,67.69
8/19/15,66.74
8/20/15,65.99
8/21/15,64.98
8/24/15,61.95
8/25/15,60.37
8/26/15,62.23
8/27/15,63.09
8/28/15,63.35
8/31/15,62.81
9/1/15,61.27
9/2/15,62.18
9/3/15,62.92
9/4/15,61.46
9/8/15,63.43
9/9/15,62.39
9/10/15,61.93
9/11/15,61.92
9/14/15,62.11
9/15/15,62.43
9/16/15,63.07
9/17/15,63.27
9/18/15,62.69
9/21/15,63.1
9/22/15,62.16
9/23/15,62.1
9/24/15,62.25
9/25/15,63.14
9/28/15,62.16
9/29/15,63.07
9/30/15,63.46
10/1/15,63.72
10/2/15,64.28
10/5/15,65.35
10/6/15,64.79
10/7/15,65.35
10/8/15,65.9
10/9/15,66.34
10/12/15,66.25
10/13/15,65.97
10/14/15,65.75
10/15/15,66.57
10/16/15,67.12
10/19/15,67.25
10/20/15,67.06
10/21/15,66.83
10/22/15,68.64
10/23/15,68.94
10/26/15,68.72
10/27/15,68.95
10/28/15,68.83
10/29/15,69.23
10/30/15,66.35
11/2/15,67.49
11/3/15,68
11/4/15,67.48
11/5/15,67.6
11/6/15,65.82
11/9/15,65.77
11/10/15,66.38
11/11/15,66.45
11/12/15,65.27
11/13/15,64.56
11/16/15,65.57
11/17/15,65.32
11/18/15,66.06
11/19/15,66.38
11/20/15,66.1
11/23/15,66.89
11/24/15,66.82
11/25/15,66.43
11/27/15,66.56
11/30/15,65.68
12/1/15,65.83
12/2/15,65.68
12/3/15,65.58
12/4/15,66.34
12/7/15,66.34
12/8/15,66.18
12/9/15,66.08
12/10/15,66.13
12/11/15,65.21
12/14/15,65.85
12/15/15,66.76
12/16/15,68.33
12/17/15,67.33
12/18/15,65.57
12/21/15,65.98
12/22/15,66.58
12/23/15,67.16
12/24/15,66.99
12/28/15,66.89
12/29/15,67.65
12/30/15,67.53
12/31/15,66.62
1/4/16,64.71
1/5/16,65
1/6/16,64.14
1/7/16,63.01
1/8/16,62.55
1/11/16,62.81
1/12/16,63.38
1/13/16,62.91
1/14/16,63.53
1/15/16,63.35
1/19/16,64.29
1/20/16,62.45
1/21/16,63.65
1/22/16,64.61
1/25/16,63.93
1/26/16,64.33
1/27/16,64.3
1/28/16,65.02
1/29/16,67.53
2/1/16,66.2
2/2/16,65.36
2/3/16,66.03
2/4/16,65.99
2/5/16,66.19
2/8/16,66.07
2/9/16,65.88
2/10/16,65.81
2/11/16,64.44
2/12/16,65.7
2/16/16,65.81
2/17/16,67.06
2/18/16,67.22
2/19/16,67.46
2/22/16,67.61
2/23/16,67.2
2/24/16,66.32
2/25/16,67.42
2/26/16,66.28
2/29/16,65.64
3/1/16,67.33
3/2/16,67.08
3/3/16,67.61
3/4/16,68.16
3/7/16,67.57
3/8/16,67.53
3/9/16,67.98
3/10/16,68.23
3/11/16,68.37
3/14/16,68.24
3/15/16,68.59
3/16/16,68.68
3/17/16,69.86
3/18/16,70.48
3/21/16,70.43
3/22/16,69.56
3/23/16,69.8
3/24/16,69.91
3/28/16,69.91
3/29/16,70.51
3/30/16,70.72
3/31/16,70.65
4/1/16,71.2
4/4/16,71.16
4/5/16,71.14
4/6/16,71.41
4/7/16,70.64
4/8/16,71.07
4/11/16,70.94
4/12/16,71.23
4/13/16,70.83
4/14/16,70.8
4/15/16,71.25
4/18/16,71.32
4/19/16,71.66
4/20/16,70.31
4/21/16,68.98
4/22/16,69.06
4/25/16,69.42
4/26/16,68.96
4/27/16,69.31
4/28/16,71.16
4/29/16,70.92
5/2/16,72.37
5/3/16,71.85
5/4/16,71.88
5/5/16,71.47
5/6/16,71.82
5/9/16,71.76
5/10/16,72.2
5/11/16,71.98
5/12/16,72.65
5/13/16,71.67
5/16/16,72.02
5/17/16,70.85
